n;Bubble Sort;Merge Sort;Busca Sequencial;Busca Binaria
978;5979535;320450;1122;70
979;6197052;319939;1122;181
980;6052642;324979;1122;60
981;6277382;324938;1122;161
982;6076216;326131;1122;71
983;6231376;327624;1122;140
984;6303621;329146;1143;60
985;6207642;328676;1122;131
986;6160173;347981;1162;60
987;6284356;328425;1132;160
988;6166103;327183;1112;50
989;6188485;327433;1132;140
990;6319341;327974;1132;60
991;6285237;330268;1122;140
992;6220886;326462;1112;60
993;6250613;325399;1123;150
994;6283664;324357;1122;50
995;6328799;326321;1122;150
996;6219845;326852;1132;80
997;6345580;328315;1132;141
998;6303882;324627;1142;60
999;6432853;329487;1162;190
1000;6454895;328075;1132;60
1001;6314322;348663;1173;190
1002;6527861;329838;1143;50
1003;6498115;328685;1152;141
1004;6427402;333945;1162;50
1005;6531929;335158;1203;180
1006;6426100;333625;1162;60
1007;6434406;330949;1152;161
1008;6498527;345668;1152;60
1009;6650481;336931;1182;141
1010;6509877;337182;1162;70
1011;6509186;331922;1172;151
1012;6479019;332142;1162;71
1013;6713208;332313;1162;130
1014;6508204;334657;1162;60
1015;6669076;334827;1152;141
1016;6592302;333754;1153;50
1017;6577354;339686;1172;141
1018;6570702;335608;1192;70
1019;6744876;335628;1172;181
1020;6511270;336761;1162;70
1021;6619924;336870;1162;151
1022;6700454;336891;1162;40
1023;6725942;336820;1172;180
1024;6710964;336691;1213;70
1025;6703761;337432;1172;150
1026;6759855;339015;1182;70
1027;6777709;342301;1232;201
1028;6938200;338163;1212;61
1029;6752431;338203;1202;170
1030;6891422;344134;1202;71
1031;6931547;340668;1202;170
1032;6940293;342151;1193;60
1033;6874730;341749;1192;200
1034;6980799;354234;1202;80
1035;6893215;343724;1192;181
1036;7022797;344826;1182;60
1037;6976562;344124;1193;190
1038;6960631;353071;1212;60
1039;6990998;344064;1202;190
1040;7006197;346148;1192;70
1041;6887795;345938;1202;180
1042;7087398;353251;1212;71
1043;6938520;345947;1212;180
1044;7067071;347821;1232;60
1045;6956464;346249;1182;181
1046;7030362;353993;1213;70
1047;7169852;349184;1222;151
1048;7091546;348272;1212;60
1049;7156247;347110;1202;191
1050;7090414;347150;1223;50
1051;7076739;348503;1202;141
1052;7225277;356308;1432;50
1053;7244663;380442;1223;181
1054;6928902;350316;1192;60
1055;7238522;350476;1232;201
1056;7325174;358031;1212;60
1057;7000936;348833;1222;190
1058;7096486;353602;1222;60
1059;7029791;350837;1222;170
1060;7200320;354504;1242;70
1061;7147930;352971;1212;150
1062;7235155;355295;1212;50
1063;7437715;350476;1233;170
1064;7301460;357479;1213;60
1065;7346664;355015;1223;180
